,UNIVERSIDAD,CARRERA,TITULO,RESUMEN,AUTOR(ES),AÑO,PDF
0,uss,psicología,Estilos de liderazgo y compromiso organizacional en una municipalidad de la región Lambayeque,"La presente investigación tuvo como objetivo conocer la relación entre los estilos de liderazgo y el compromiso organizacional en una municipalidad de la región Lambayeque, para lo cual se contó con la participación de ...","Uriarte Villalobos, Anahis Alexandra",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7833/Uriarte%20Villalobos%2c%20Anahis%20Alexandra.pdf
1,uss,psicología,Apoyo social percibido y resiliencia en internos drogodependientes en rehabilitación de la ciudad de Chiclayo,La presente investigación tiene como objetivo principal determinar si existe relación entre el apoyo social percibido y resiliencia en internos de un centro de rehabilitación de Chiclayo. Para ello se contó con la ...,"Burga Flores, Milagros del Pilar",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/6591/Burga%20Flores%2c%20Milagros%20del%20Pilar.pdf
2,uss,psicología,Procrastinación académica y hábitos de estudio en alumnos de quinto grado de secundaria en una institución educativa de Chiclayo 2018,"En el presente trabajo de Investigación se buscó encontrar si existe correlación entre las variables Procrastinación Académica y Hábitos de Estudio. La investigación corresponde a la ciudad de Chiclayo - Perú, la muestra ...","Coronado Hurtado, Cristian Adrian",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/6653/Coronado%20Hurtado%2c%20Cristian%20Adrian.pdf
3,uss,psicología,Esquemas desadaptativos tempranos en adolescentes de familias monoparentales y familias nucleares de una institución educativa de Chiclayo,"La presente investigación buscó determinar si existen diferencias de los esquemas desadaptativos tempranos en adolescentes de familias monoparentales y familias nucleares de una institución educativa de Chiclayo, cuyo ...","Calderón Briones, Anggela Madeleine",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/6935/Calder%c3%b3n%20Briones%2c%20Anggela%20Madeleine.pdf
4,uss,psicología,Conducta prosocial y regulación emocional en estudiantes de secundaria de una institución educativa de Chiclayo,"El estudio de la conducta prosocial y regulación emocional es relevante para la psicología, al ser constructos que contribuyen a la convivencia social saludable y a la psicología positiva y bienestar emocional. El objetivo ...","Mendoza Bustamante, Nelsi",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/6858/Mendoza%20Bustamante%20Nelsi.pdf
5,uss,psicología,Dependencia al móvil y calidad de vida en estudiantes de una universidad privada de Chiclayo,"El presente estudio estimó como objetivo principal determinar la relación de la variable dependencia al móvil y calidad de vida, obteniéndose una relación negativa moderada. El diseño y tipo de investigación fue ...","Cotrina Vilchez, Hilda Gabriela",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7773/Cotrina%20Vilchez%2c%20Hilda%20Gabriela.pdf
6,uss,psicología,Procrastinación y estrés académico en estudiantes de una universidad particular de la ciudad de Chiclayo,"La presente investigación cuantitativa con diseño correlacional se realizó con el propósito de analizar si existe relación entre procrastinación y estrés académico en estudiantes de una universidad particular de Chiclayo, ...","Díaz Salazar, Jorge Luis",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7746/D%c3%adaz%20Salazar%2c%20Jorge%20Luis__.pdf
7,uss,psicología,Estilos de crianza y personalidad en estudiantes de una institución educativa de la ciudad de Chiclayo,"Los estilos de crianza suelen desempeñar un papel preponderante en el desarrollo de los adolescentes, incluyendo la configuración de rasgos personales. Es por ello que, el presente estudio tuvo como finalidad, determinar ...","Torres Delgado, María del Rosario",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7775/Torres%20Delgado%2c%20Mar%c3%ada%20del%20Rosario.pdf
8,uss,psicología,Desesperanza aprendida y evitación al éxito laboral en colaboradores de una empresa pública de Chiclayo,El tipo de investigación es correlacional y el objetivo de la presente investigación fue determinar la relación entre desesperanza aprendida y evitación al éxito laboral en colaboradores de una empresa pública de Chiclayo. ...,"González Guevara, Leydy Bertilda",2020,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7694/Gonz%c3%a1lez%20Guevara%20Leydy%20Bertilda.pdf
9,uss,psicología,Justicia y ciudadanía organizacional en colaboradores de un establecimiento de salud de Chiclayo,"El presente es un estudio correlacional entre la justicia y ciudadanía organizacional de los colaboradores de un establecimiento de salud en la ciudad de Chiclayo. La muestra de estudio se conformó por 120 sujetos, con ...","Cueva Corrales, Karen Juliana; Piedra Saldívar, Tatiana Ysabel",2021,https://repositorio.uss.edu.pe/bitstream/handle/20.500.12802/7679/Cueva%20Corrales%20Karen%20%26%20Piedra%20Sald%c3%advar%20Tatiana.pdf
